Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:53:35 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 10:53:48 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 10:53:48 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:53:48 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 10:54:01 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1.56434465040231, Time 2/27/2021 10:54:27 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:54:40 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:57:47 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 10:57:47 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 10:58:00 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:58:39 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:58:52 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 10:58:52 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 10:58:52 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 10:59:05 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:04:31 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:04:44 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 11:04:44 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:04:57 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:04:57 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:04:57 AM
